n,m,d,Z_reduction,X_and_Y_have_different_distribution,average_percentage_change,max_change,min_change
10,10,10,0.1,False,67.69975032385166,105.71428571428572,24.409448818897637
10,10,10,0.1,True,224.76056153240623,881.0810810810813,0.0
10,10,10,0.25,False,65.79777862215383,125.64102564102564,2.4844720496894435
10,10,10,0.25,True,10.522172658094984,33.98058252427184,0.0
10,10,10,0.37,False,44.21555792148055,60.0,25.641025641025646
10,10,10,0.37,True,24.46864340068224,64.86486486486487,0.0
10,10,10,0.5,False,26.611671450767652,38.095238095238095,19.875776397515526
10,10,10,0.5,True,8.944502755182366,27.669902912621367,0.0
10,10,10,0.6,False,26.470145454226255,32.85714285714286,18.110236220472444
10,10,10,0.6,True,16.396615061663606,41.262135922330096,0.0
10,10,10,0.75,False,20.128424582378706,28.20512820512821,12.598425196850382
10,10,10,0.75,True,17.344528995014443,56.75675675675678,0.0
10,10,10,1.0,False,0.0,0.0,0.0
10,10,10,1.0,True,0.0,0.0,0.0
10,10,40,0.1,False,27.711902516280496,47.11316397228637,3.636363636363639
10,10,40,0.1,True,11.554054054054053,30.0,0.0
10,10,40,0.25,False,46.11965806934407,64.68401486988846,3.3898305084745797
10,10,40,0.25,True,16.675675675675674,52.702702702702695,0.0
10,10,40,0.37,False,41.5012705797974,75.51963048498845,19.330855018587357
10,10,40,0.37,True,46.32432432432432,137.99999999999997,0.0
10,10,40,0.5,False,13.677943438833527,45.03464203233257,1.1152416356877333
10,10,40,0.5,True,10.891891891891891,25.999999999999996,0.0
10,10,40,0.6,False,17.70776977517211,26.096997690531175,8.757062146892649
10,10,40,0.6,True,6.229729729729727,18.918918918918916,0.0
10,10,40,0.75,False,8.822945851935499,18.54545454545454,1.8587360594795554
10,10,40,0.75,True,10.756756756756758,27.027027027027035,0.0
10,10,40,1.0,False,0.0,0.0,0.0
10,10,40,1.0,True,0.0,0.0,0.0
30,30,10,0.1,False,129.42501230743022,394.4444444444444,7.674418604651157
30,30,10,0.1,True,37.5,150.0,0.0
30,30,10,0.25,False,35.55019100612233,70.73170731707317,9.767441860465112
30,30,10,0.25,True,50.0,200.0,0.0
30,30,10,0.37,False,31.13030263632607,60.97560975609756,8.604651162790706
